horizon_min,RMSE_spatial_mean,MAE_spatial_mean,model
15,27.445194469175192,23.8791109925518,persistence_raw
30,53.89574311093587,46.887851222994726,persistence_raw
45,80.02598740325953,69.68068093882879,persistence_raw
60,105.62636490629164,91.99518847665462,persistence_raw
15,7.800872464113328,4.970294475691051,persistence_csi
30,14.282337888358866,9.359331853209872,persistence_csi
45,19.908223255625114,13.438866628124424,persistence_csi
60,24.19702011373159,16.84981341994204,persistence_csi
15,7.548189688933227,4.8747235331256205,advective_csi
30,13.956814345126565,9.307780509758086,advective_csi
45,19.476147255154615,13.280090617915244,advective_csi
60,23.73947250072508,16.615160684014352,advective_csi
15,270.30317761747784,235.61620220553573,mean_image
30,271.46154789854444,236.29934342178274,mean_image
45,274.7967862273508,238.37471963726202,mean_image
60,279.82214611854306,240.55448283531558,mean_image
15,6.581381706949828,3.6444320135800523,ridge_residual_csi
30,11.203327868455414,6.5265414495308525,ridge_residual_csi
45,16.439262203296636,9.684946249507723,ridge_residual_csi
60,20.418694655516965,12.68505676015602,ridge_residual_csi
15,7.110472581130546,3.876671615638838,elasticnet_residual_csi
30,11.443255093425806,6.614580044710068,elasticnet_residual_csi
45,16.679662270361074,9.80985755744554,elasticnet_residual_csi
60,20.904709960486922,12.89772344145376,elasticnet_residual_csi
15,5.693099730536888,3.2880746548355626,extra_trees_residual_csi
30,10.48985041092758,6.222772483909427,extra_trees_residual_csi
45,15.284319814698405,9.208982222259598,extra_trees_residual_csi
60,18.991645319710106,11.692010635852789,extra_trees_residual_csi
15,5.821462017007885,3.377175371684456,random_forest_residual_csi
30,10.760734971683299,6.4063921937270125,random_forest_residual_csi
45,15.666742686459441,9.454592790207954,random_forest_residual_csi
60,19.34954218053271,12.029951390602648,random_forest_residual_csi
15,5.87046037372518,3.4636511241017733,hist_gb_residual_csi
30,10.973984432390713,6.546608331405372,hist_gb_residual_csi
45,16.00765797094029,9.794955017454226,hist_gb_residual_csi
60,20.086274115179517,12.742855752635855,hist_gb_residual_csi
15,5.7475971348868065,3.1977206284964366,hist_gb_patch2x2_residual_csi
30,10.460071794757575,6.00864472069877,hist_gb_patch2x2_residual_csi
45,14.855896713206635,8.876766839576508,hist_gb_patch2x2_residual_csi
60,18.491409766735597,11.580385147267835,hist_gb_patch2x2_residual_csi
