horizon_min,RMSE_structure,MAE_structure,model
15,20.46173447521951,12.708855007539272,persistence_raw
30,34.35278015691586,21.654260343230995,persistence_raw
45,46.27080518674296,29.435887081467268,persistence_raw
60,54.228906699856,34.76432297374932,persistence_raw
15,20.101725571923883,12.073792978660979,persistence_csi
30,33.7622935484932,20.408275545663887,persistence_csi
45,45.717520761174164,27.649197510274693,persistence_csi
60,53.73420174006306,32.25447427314172,persistence_csi
15,20.101725571923883,12.073792978660979,advective_csi
30,33.7622935484932,20.408275545663887,advective_csi
45,45.717520761174164,27.649197510274693,advective_csi
60,53.73420174006306,32.25447427314172,advective_csi
15,66.74656229878241,44.76948753426705,mean_image
30,66.49613582698053,44.20326725714364,mean_image
45,66.36195289985076,43.594878396417265,mean_image
60,66.28198762443239,43.03028603542368,mean_image
15,20.010544261794074,12.035755669015831,cnn_residual_csi_fullmap
30,33.60693229735842,20.3200508679006,cnn_residual_csi_fullmap
45,45.42849747334213,27.479736137332797,cnn_residual_csi_fullmap
60,53.35402057298123,32.013032184288605,cnn_residual_csi_fullmap
15,19.360016619853265,11.75539312165567,convlstm_residual_csi_fullmap
30,32.07709274955789,19.647334993438268,convlstm_residual_csi_fullmap
45,43.272059545575324,26.379354374700586,convlstm_residual_csi_fullmap
60,50.590665235958205,30.707853688942492,convlstm_residual_csi_fullmap
