horizon_min,RMSE_structure,MAE_structure,model
15,20.46173447521951,12.708855007539269,persistence_raw
30,34.35278015691587,21.654260343230987,persistence_raw
45,46.270805186742955,29.435887081467282,persistence_raw
60,54.22890669985597,34.76432297374932,persistence_raw
15,20.10172557192388,12.073792978660977,persistence_csi
30,33.76229354849319,20.40827554566388,persistence_csi
45,45.71752076117415,27.649197510274686,persistence_csi
60,53.734201740063064,32.25447427314173,persistence_csi
15,66.74656229878241,44.76948753426706,mean_image
30,66.49613582698055,44.20326725714362,mean_image
45,66.36195289985078,43.59487839641726,mean_image
60,66.28198762443238,43.030286035423664,mean_image
15,25.760302190667556,14.690769777697689,advective_csi
30,41.13059442057329,24.245683198042265,advective_csi
45,52.132887825267716,31.166213255242248,advective_csi
60,59.682019974394215,35.598638234892505,advective_csi
15,20.101770030721376,12.073987336583471,ridge_residual_csi
30,33.76117497123552,20.40560955089517,ridge_residual_csi
45,45.70970934258744,27.63725418733437,ridge_residual_csi
60,53.72211366824063,32.24593657664192,ridge_residual_csi
15,20.101725419990856,12.073792837278218,random_forest_residual_csi
30,33.762293495370194,20.40827544344426,random_forest_residual_csi
45,45.71752082743315,27.649197513396267,random_forest_residual_csi
60,53.73403601847894,32.25412528514927,random_forest_residual_csi
15,20.10172563276703,12.073793001522231,extra_trees_residual_csi
30,33.76229340760448,20.408275536195244,extra_trees_residual_csi
45,45.71752079958624,27.649197488201374,extra_trees_residual_csi
60,53.73420180158064,32.254474244823776,extra_trees_residual_csi
15,20.10172567604769,12.073793028986595,hist_gb_residual_csi
30,33.76229357946778,20.408275579941915,hist_gb_residual_csi
45,45.71752085331711,27.649197548204945,hist_gb_residual_csi
60,53.73399540298226,32.254058081698034,hist_gb_residual_csi
